episode,reward
192,0.0197
9792,0.7154
19392,0.84195
28992,0.83275
38592,0.82155
48192,0.8155
57792,0.85445
67392,0.86655
76992,0.8762
86592,0.8808
96192,0.90075
105792,0.8355
115392,0.8803
124992,0.85445
134592,0.8481
144192,0.79245
153792,0.7673
163392,0.77745
172992,0.769
182592,0.74865
